biuro_kwota; biuro_nazwa; dzial_kwota; dzial_nazwa; dzial_sub_kwota; dzial_sub_nazwa; gmina; zadanie; zadanie_kwota; zadanie_typ; zadanie_tresc;
;;;;;;;2150992 - Pomoc na zagospodarowanie w formie rzeczowej; 21.500;wydatki bie Ŝą ce;Zaplanowane  ś rodki przeznacza si ę  na: - pomoc rzeczow ą  dla 15 usamodzielnianych wychowanków. Zgodnie z art. 90 ust. 2 ustawy z dnia 12 marca 2004 roku o pomocy społecznej, pomoc w uzyskaniu odpowiednich warunków mieszkaniowych , w tym w mieszkaniu chronionym, w uzyskaniu zatrudnieniaoraz na zagospodarowaniu w formie rzeczowej udziela starosta wła ś ciwy, ze wzgl ę du na miejsce osiedlenia si ę  osoby usamodzielnianej.;
;;;;;;;2151612 - Prowadzenie placówki opieku ń czo-wychowawczej typu specjalistyczno-terapeutycznego; 276.649;wydatki bie Ŝą ce;Placówka jest przewidziana dla dziecka o indywidualnych potrzebach: legitymuj ą cego si ę  orzeczeniem o niepełnosprawno ś ci, wymagaj ą cego stosowania specjalnych metod wychowawczych i specjalnej terapii, wymagaj ą cego wyrównania opó ź nie ń  rozwojowych i edukacyjnych.  Zadanie zostanie zlecone organizacjom  pozarz ą dowym lub podmiotom, o których mowa w art.3 ust.3 ustawy z dnia 24.04.2003 r. o działalno ś ci po Ŝ ytku publicznego i o wolontariacie, w trybie otwartego konkursu ofert.;
;;;;;;;2151622 - Pomoc na usamodzielnienie i kontynuowanie nauki dla osób opuszczaj ą cych po osi ą gni ę ciu pełnoletno ś ci placówki opieku ń czo - wychowawcze; 878.955;wydatki bie Ŝą ce;Planowane  ś rodki przeznacza si ę  na: - pomoc na usamodzielnienia - przewiduje sie, i Ŝ  w 2014 roku  na starych zasadach 21 wychowanków i na nowych zasadach 26 wychowanków ubiega ć  si ę  b ę dzie o udzielenie takiej pomocy, - pomoc pieni ęŜ n ą  na kontynuowanie nauki - przewiduje si ę , i Ŝ  w 2014 roku na starych zasadach 56 wychowanków i na nowych zasadach 103 wychowanków po opuszczeniu placówki b ę dzie kontynuowa ć  nauk ę . Zgodnie z art 143 ust. 2 Ustawy z 9 czerwca 2011 roku o wspieraniu rodziny i systemie pieczy zast ę pczej, wniosek o przyznanie pomocy na usamodzielnienie i pomocy pieni ęŜ nej na kontynuowanie nauki, osoba usamodzielniana składa w powiecie wła ś ciwym ze wzgl ę du na miejsce zamieszkania przed umieszczeniem w pieczy zast ę pczej.;
;;;;;;;2151632 - Pomoc na zagospodarowanie dla osób opuszczaj ą cych po osi ą gni ę ciu pełnoletno ś ci placówki opieku ń czo - wychowawcze; 104.882;wydatki bie Ŝą ce;Planowane  ś rodki przeznacza si ę  na: - pomoc rzeczow ą  na starych zasadach: dla 2 usamodzielnianych wychowanków z ustalonym stopniem niepełnosprawno ś ci, dla 21 usamodzielnianych wychowanków, - pomoc rzeczow ą  na nowych zasadach: dla 29 usamodzielnianych wychowanków. Zgodnie z art. 143 ust. 3 ustawy z dnia 9 czerwca 2011 r. o wspieraniu rodziny i systemie pieczyzast ę pczej, wniosek o przyznanie pomocy na zagospodarowanie składa osoba usamodzielniana w powiecie wła ś ciwym ze wzgl ę du na miejsce osiedlenia si ę  osoby usamodzielnianej.;
;;;; 63.496.519;85202 Domy pomocy społecznej;Powiat;2006732 - Niepubliczne domy pomocy społecznej; 2.509.260;wydatki bie Ŝą ce;Planowane   ś rodki finansowe  przeznacza si ę  na prowadzenie ni Ŝ ej wymienionych Domów Pomocy Społecznej:-  Fundacja im. Brata Alberta, Dom Pomocy Społecznej ul. Helenówek 7.   Dom dla upo ś ledzonych umysłowo m ęŜ czyzn. Liczba planowanych miejsc - 10. -  Dom Pomocy Społecznej Zgromadzenia Sióstr Słu Ŝ ebniczek NMP im. bł. E.Bojanowskiego ul. Kosynierów Gdy ń skich 20. Dom dla osób przewlekle, psychicznie chorych, zapewniaj ą cy mieszka ń com całodobow ą opiek ę . Liczba planowanych miejsc - 107. -  Prowadzenie miejsc interwencyjnych dla 9 osób chorych psychicznie w Domu  Pomocy SpołecznejZgromadzenia Sióstr Słu Ŝ ebniczek NMP im. bł. E.Bojanowskiego ul. Kosynierów Gdy ń skich 20.      ;
;;;;;;;2008612 - Publiczne domy pomocy społecznej; 60.982.259;wydatki bie Ŝą ce;Zaplanowane  ś rodki przeznaczone s ą  na wydatki bie Ŝą ce zwi ą zane z działalno ś ci ą  13 publicznych domów pomocy społecznej, w tym: 3 dla ludzi starych, 1 dla ludzi starych - kombatantów, 5 dla przewlekle, somatycznie chorych, 2 dla przewlekle, psychicznie chorych, 2 dla dzieciniepełnosprawnych intelektualnie. S ą  to placówki zapewniaj ą ce pełen zakres usług : nocleg, wy Ŝ ywienie, pranie, usługi piel ę gniarsko - medyczne. Domy pomocy społecznej w 2014 roku  dysponuj ą  ł ą cznie 1.882 miejscami statutowymi dla  podopiecznych.;
;;;;;;;2189052 - Wydatki na realizacj ę  zada ń  zgłoszonych przez jednostki pomocnicze (z algorytmu); 5.000;wydatki bie Ŝą ce;Zakup sprz ę tu i wyposa Ŝ enia niezb ę dnego dla wła ś ciwego funkcjonowania w Domu Pomocy Społecznej "Dom Kombatanta" ul. Przyrodnicza 24/26.  Ś rodki przyznane  przez jednostk ę  pomocnicz ą  Miasta Łodzi z algorytmu.;
;;;; 11.904.918;85203 O ś rodki wsparcia;Gmina;2001301 - Domy dziennego pobytu; 6.211.064;wydatki bie Ŝą ce;Planowane  ś rodki finansowe przeznaczone s ą  na finansowanie działalno ś ci 18 Domów Dziennego Pobytu  wraz z Fili ą  DDP przy ul. Senatorskiej 4 ( Filia DDP funkcjonuje w budynku "Mi ę dzypokoleniowego Domu " przy ul. Bednarskiej 15, w skład którego obok Filii  DDP wchodzi Dom Dziecka oraz  Ś rodowiskowe Centrum Inicjatyw ).  W wewn ę trznej strukturze organizacyjnej  MOPS uj ę tych jest 17 Domów Dziennego Pobytu, natomiast  DDP przy ulicy Krzemienieckiej 7/9  prowadzony jest przez Dom Pomocy Społecznej"Włókniarz" .Domy dziennego pobytu przeznaczone s ą  dla osób w wieku emerytalnym lub o zmniejszonej sprawno ś ci psychofizycznej.Domy dziennego pobytu dysponuj ą  ł ą cznie 830 miejscami dla podopiecznych.;
;;;;;;;2008931 - Schronisko dla Bezdomnych Kobiet; 482.449;wydatki bie Ŝą ce;Planowane  ś rodki przeznaczone s ą  na wydatki zwi ą zane z działalno ś ci ą  Schroniska dla bezdomnych kobiet wraz z utworzon ą  na jego terenie noclegowni ą . Schronisko przeznaczone jest dla kobiet i ich dzieci nie posiadaj ą cych przej ś ciowo innego zakwaterowania, udziela schronienia na okres 14 dni, cho ć  cz ę ste s ą  przypadki dłu Ŝ szego przebywania w placówce. Schronisko dysponuje 62 miejscami . Noclegownia czynna jest przez cały rok w godzinach od 20:00 do 8:00  i dysponuje  20 miejscami.;
;;;;;;;2036021 - Zapewnienie schronienia bezdomnym; 1.622.281;wydatki bie Ŝą ce;Planowane  ś rodki przeznacza si ę  na dofinansowanie wydatków zwi ą zanych z udzielaniem schronienia, zapewnieniem posiłku oraz niezb ę dnego ubrania osobom tego pozbawionym w schroniskach, noclegowniach oraz mieszkaniach readaptacyjnych dla osób bezdomnych  ( liczba planowanych miejscnie mniejsza ni Ŝ  389 ). Zadanie b ę dzie realizowane przez Koło Łódzkie Towarzystwa Pomocy im. Brata Alberta.;
;;;;;;;2104341 - Niepubliczne domy dziennego pobytu; 158.484;wydatki bie Ŝą ce;Planowane  ś rodki przeznacza si ę  na pokrycie wydatków zwi ą zanych z dofinansowaniem działalno ś ci niepublicznych domów dziennego pobytu. Zadanie jest realizowane przez Caritas Archidiecezji Łódzkiej wsiedzibie przy ul. Gda ń skiej 111. Prowadzenie drugiego domu powierzone zostanie organizacjom lub podmiotom, o których mowa w art.3 ust. 3 ustawy z dnia 24.04.2003 r. o działalno ś ci po Ŝ ytku publicznego i o wolontariacie.;
;;;;;;;2132791 - Prowadzenie  ś wietlicy dla bezdomnych; 49.002;wydatki bie Ŝą ce;Zaplanowane  ś rodki przeznacza si ę  na pokrycie wydatków zwi ą zanych z udzielaniem schronienia, zapewnieniem posiłku, leków oraz niezb ę dnego ubrania osobom tego pozbawionym, poprzez prowadzenie  ś wietlicy dla osób bezdomnych.;
;;;;;;;2151421 - Domy dziennego pobytu dla osób niepełnosprawnych; 2.517.254;wydatki bie Ŝą ce;Planowane  ś rodki finansowe przeznaczone s ą  na wydatki zwi ą zane z działalno ś ci ą  dwóch Domów dziennego pobytu dla osób niepełnosprawnych zapewniaj ą cym dzieciom niepełnosprawnym intelektualnie opiek ę  medyczn ą , psychologiczn ą , terapeutyczn ą  i wychowawczo-rewalidacyjn ą , opart ą  na indywidualnych programach usprawniaj ą cych. Domy dziennego pobytu dla osób niepełnosprawnych dysponuj ą  ł ą cznie 100 miejscami dla podopiecznych.;
;;;;;;;2152461 - Prowadzenie placówek wsparcia dziennego w formie opieku ń czej; 437.216;wydatki bie Ŝą ce;Planowane  ś rodki przeznacza si ę  na prowadzenie placówek wsparcia dziennego    w formie opieku ń czej zgodnie z ustaw ą  z dnia 9 czerwca 2011 r. o wspieraniu rodziny i systemie pieczy zast ę pczej.  Zgodnie z w/w ustaw ą  placówka wsparcia dziennego przewidziana jest dla dzieci z rodzin, prze Ŝ ywaj ą ch trudno ś ci w wypełnianiu ich funkcji opieku ń czo-wychowawczej.;
;;;;;;;2152471 - Prowadzenie placówek wsparcia dziennego w formie pracy podwórkowej realizowanej przezwychowawc ę; 30.663;wydatki bie Ŝą ce;Planowane  ś rodki przeznacza si ę  na prowadzenie placówek wsparcia dziennego w formie pracy podwórkowej, realizowanej przez wychowawc ę , w ramach których prowadzone b ę d ą  działania animacyjne i socjoterapeutyczne. ;
;;;;;;;2189071 - Wydatki realizowane w ramach bud Ŝ etu obywatelskiego.; 35.785;wydatki bie Ŝą ce;Wydatki zwi ą zane z realizacj ą  bud Ŝ etu obywatelskiego: zakup nowego pianina - Dom Dziennego Pobytu ul. Wrocławska 10,zakup komputera - Dom Dziennego Pobytu ul. Wrocławska 10,zakup odtwarzaczy, aparatu fotograficznego - Dom Dziennego Pobytu ul. Jaracza36,zatrudnienie rehabilitanta - Dom Dziennego Pobytu Al. Ko ś ciuszki 29.;
;;;;;;Powiat;2056622 - O ś rodek Wsparcia dla Rodzin; 360.720;wydatki bie Ŝą ce;Dom zaplanowany jest na 60 miejsc i przyjmuje na pobyt czasowy kobiety w ci ąŜ y oraz matki z dzie ć mi do ósmego miesi ą ca po urodzeniu, nie posiadaj ą ce innych mo Ŝ liwo ś ci bezpiecznego pobytu dla siebie i dzieci. Dom prowadzi działalno ść  zapewniaj ą c ą  całodobow ą  opiek ę  oraz zaspokaja niezb ę dne potrzeby bytowe, edukacyjne, społeczne i religijne.Zadanie zostanie zlecone do realizacji organizacjom lub podmiotom, o których mowa w art. 3 ust. 3ustawy dnia 24.04.2003 r.    o działalno ś ci po Ŝ ytku publicznego i o wolontariacie, w trybie otwartego konkursu ofert.;
;;;; 17.506.070;85204 Rodziny zast ę pcze;Gmina;2151701 - Sprawowanie pieczy zast ę pczej - Rodziny zast ę pcze finansowane z gminy; 923.049;wydatki bie Ŝą ce;Zadanie b ę dzie polegało na ponoszeniu wydatków przez gmin ę , w przypadku umieszczenia dziecka  w rodzinie zast ę pczej. Gmina wła ś ciwa ze wzgl ę du na miejsce zamieszkania dziecka przed umieszczeniem go po raz pierwszy w pieczy zast ę pczej ponosi wydatki na opiek ę  i wychowanie. Pomoc przysługuje przez okres nie dłu Ŝ szy ni Ŝ  do osi ą gni ę cia pełnoletno ś ci, nie dłu Ŝ ej jednak ni Ŝ  do uko ń czenia 25 roku  Ŝ ycia, je Ŝ eli dziecko uczy si ę .;
;;;;;;;2151711 - Sprawowanie pieczy zast ę pczej - Rodzinne Domy Dziecka finansowane z gminy; 26.543;wydatki bie Ŝą ce;Zadanie b ę dzie polegało na ponoszeniu wydatków na opiek ę  i wychowanie dziecka w zwi ą zku z umieszczeniem go w rodzinnym domu dziecka wła ś ciwym ze wzgl ę du na miejsce zamieszkania dziecka przed umieszczeniem go po raz pierwszy w pieczy zast ę pczej. Pomoc przysługuje przez okres nie dłu Ŝ szy ni Ŝ  do osi ą gni ę cia pełnoletno ś ci, nie dłu Ŝ ej jednak ni Ŝ  do uko ń czenia 25 roku  Ŝ ycia, je ś li dziecko si ę  uczy. Pomoc przewidziana jest dla około 10 dzieci  umieszczonych w 4 rodzinnych domach dziecka.;
;;;;;;;2152331 - Sprawowanie pieczy zast ę pczej - Rodziny Pomocowe finansowane z gminy; 5.650;wydatki bie Ŝą ce;Planowane  ś rodki przeznaczone b ę d ą  na wynagrodzenia z pochodnymi oraz  ś wiadczenia społeczne dla rodziny zast ę pczej oraz prowadz ą cej rodzinny dom dziecka za czas sprawowania funkcji rodziny pomocowej.;
;;;;;;Powiat;2056672 - Rodziny zast ę pcze; 12.421.826;wydatki bie Ŝą ce;Planowane  ś rodki przeznaczone s ą  na: - pomoc pieni ęŜ n ą  dla rodzin zast ę pczych na pokrycie kosztów utrzymania umieszczonych w nich dzieci, - dodatek na pokrycie zwi ę kszonych kosztów utrzymania dziecka legitymuj ą cego si ę  orzeczeniem    o niepełnosprawno ś ci lub orzeczeniem o znacznym lub umiarkowanym stopniu niepełnosprawno ś ci, -  ś wiadczenia na pokrycie niezb ę dnych wydatków zwi ą zanych z potrzebami przyjmowanego dziecka, -  ś wiadczenia na pokrycie niezb ę dnych wydatków zwi ą zanych z wyst ą pieniem zdarze ń  losowych maj ą cych wpływ na jako ść  sprawowanej opieki, - wynagrodzenie dla osoby zatrudnionej do pomocy przy sprawowaniu opieki nad dzie ć mi i przy pracach gospodarskich,- wynagrodzenie z pochodnymi dla rodziny zast ę pczej, - dodatek z pochodnymi dla rodziny zast ę pczej pełni ą cej funkcj ę  pogotowia rodzinnego. Pomoc przysługuje do czasu uko ń czenia przez dziecko 18 lat lub do 25 roku  Ŝ ycia w przypadku kontynuowania nauki.;
;;;;;;;2151662 - Pomoc na zagospodarowanie dla pełnoletnich osób opuszczaj ą cych rodziny zast ę pcze.; 118.823;wydatki bie Ŝą ce;Planowane  ś rodki przeznaczone zostan ą  na pomoc na zagospodarowanie dla pełnoletnich osób opuszczaj ą cych rodziny zast ę pcze. Przewiduje si ę ,  Ŝ e zgodnie z art.150, ustawy z dn.09.06.2011 r. o wspieraniu rodziny i systemie pieczy zast ę pczej, prawo do  ś wiadczenia b ę dzie miało 62 wychowanków rodzin zast ę pczych, w tym 3 wychowanków z orzeczonym stopniem niepełnosprawno ś ci.;
;;;;;;;2151672 - Pomoc na usamodzielnienie, kontynuowanie nauki dla pełnoletnich osób opuszczaj ą cych rodziny zast ę pcze; 1.574.186;wydatki bie Ŝą ce;Planowane  ś rodki planuje si ę  przeznaczy ć  na pomoc na: usamodzielnienie dla pełnoletnich osób, opuszczaj ą cych rodziny zast ę pcze, kontynuowanie nauki dla pełnoletnich osób, opuszczaj ą cych rodziny zast ę pcze.;
;;;;;;;2151682 - Sprawowanie pieczy zast ę pczej w formie rodzinnej - Rodzinne Domy Dziecka.; 1.339.320;wydatki bie Ŝą ce;Planowane  ś rodki  przeznaczone s ą  na: - pomoc pieni ęŜ n ą  dla Rodzinnych Domów Dziecka na pokrycie kosztów utrzymania umieszczonego    w nich dziecka,- dodatek na pokrycie zwi ę kszonych kosztów utrzymania dziecka, legitymuj ą cego si ę  orzeczeniem    o niepełnosprawno ś ci lub orzeczeniem o znacznym lub umiarkowanym stopniu niepełnosprawno ś ci, -  ś wiadczenia na pokrycie niezb ę dnych wydatków zwi ą zanych z potrzebami przyjmowanego dziecka, - utrzymanie lokalu mieszkalnego w budynku wielorodzinnym lub domu jednorodzinnym, -  ś wiadczenia na pokrycie niezb ę dnych wydatków, zwi ą zanych z wyst ą pieniem zdarze ń  losowych, maj ą cych wpływ na jako ść  sprawowanej opieki, -  ś wiadczenia na pokrycie kosztów zwi ą zanych z remontem lub zmian ą  lokalu mieszkalnego w budynku wielorodzinnym lub domu jednorodzinnym - raz w roku,- wynagrodzenie z pochodnymi dla prowadz ą cego rodzinny dom dziecka, - wynagrodzenie z pochodnymi dla osoby zajmuj ą cej si ę  opiek ą  i wychowaniem dzieci w rodzinnym domu  dziecka,- wynagrodzenie dla osoby zatrudnionej do pomocy przy sprawowaniu opieki nad dzie ć mi i przy pracach gospodarskich,-  ś wiadczenia na pokrycie innych nieprzewidywalnych kosztów zwi ą zanych z opiek ą  i wychowaniem dzieckalub funkcjonowaniem rodzinnego domu dziecka.Pomoc przysługuje do czasu uko ń czenia przez dziecko 18 lat lub do 25 roku  Ŝ ycia w przypadku kontynuowania nauki.;
;;;;;;;2151692 - Sprawowanie pieczy zast ę pczej - Rodziny Pomocowe; 49.635;wydatki bie Ŝą ce;Planowane  ś rodki przeznaczone s ą  na wynagrodzenia z pochodnymi dla rodziny zast ę pczej oraz prowadz ą cej rodzinny dom dziecka za czas sprawowania funkcji rodziny pomocowej.;
;;;;;;;2152442 - Pomoc na usamodzielnienie, kontynuowanie nauki dla pełnoletnich osób opuszczaj ą cych rodzinne domy dziecka; 28.200;wydatki bie Ŝą ce;Planowane  ś rodki przeznacza si ę  na pomoc na: - usamodzielnienie dla pełnoletnich osób opuszczaj ą cych rodzinne domy dziecka, - kontynuowanie nauki dla pełnoletnich osób opuszczaj ą cych rodzinne domy dziecka.;
;;;;;;;2152452 - Pomoc na zagospodarowanie dla pełnoletnich osób opuszczaj ą cych rodzinne domy dziecka; 4.500;wydatki bie Ŝą ce;Planowane  ś rodki przeznacza si ę   na pomoc na zagospodarowanie dla pełnoletnich osób opuszczaj ą cych rodzinne domy dziecka. Prawo do  ś wiadcze ń  b ę dzie miało 3 wychowanków rodzinnych domów dziecka.;
;;;;;;;2152942 - Koordynatorzy rodzinnej pieczy zast ę pczej; 1.014.338;wydatki bie Ŝą ce;Ś rodki zostan ą  przeznaczone na sfinansowanie kosztów wynagrodze ń  koordynatorów rodzinnej  pieczy zast ę pczej i pochodnych od wynagrodze ń , ZF Ś S. Realizacja zadania zgodnie z ustaw ą  z dnia 9 czerwca 2011 r. o wspieraniu rodziny i systemie pieczy zast ę pczej (Dz. U. Nr 149 poz. 887 ).;
;;;; 27.026;85205 Zadania w zakresie przeciwdziałania przemocy w rodzinie;Gmina;2132721 - Gminny Program Przeciwdziałania Przemocy w Rodzinie - szkolenia członków zespołówinterdyscyplinarnych; 10.000;wydatki bie Ŝą ce;Planowane  ś rodki przeznaczone s ą  na zorganizowanie szkole ń  z zakresu pracy z rodzin ą  dotkni ę t ą przemoc ą , w ramach realizacji Gminnego Programu Przeciwdziałania Przemocy w Rodzinie. Zadanie zostanie zlecone w trybie zakupu usług. Celem programu jest poprawa skuteczno ś ci działa ń  osób zobowi ą zanych i uprawnionych do przeciwdziałania przemocy, monitorowanie wyst ę powania przemocy w rodzinie  jej rozmiarów i skutków społecznych, efektywno ś ci podejmowanych działa ń . W ramach zadania realizowane  b ę d ą  szkolenia członków zespołów interdyscyplinarnych.;
;;;;;;;2132731 - Gminny Program Przeciwdziałania Przemocy w Rodzinie - koordynowanie działa ń  zespołów interdyscyplinarnych; 17.026;wydatki bie Ŝą ce;Planowane  ś rodki przeznaczone s ą  na realizacj ę  Gminnego Programu Przeciwdziałania Przemocy w Rodzinie. Celem programu jest poprawa skuteczno ś ci działa ń  osób zobowi ą zanych i uprawnionych do przeciwdziałania przemocy oraz monitorowanie wyst ę powania przemocy w rodzinie  jej rozmiarów i skutków społecznych oraz efektywno ś ci podejmowanych działa ń . Planowane  ś rodki przeznacza si ę  na wypłat ę  wynagrodzenia pracowników socjalnych koordynuj ą cych prace zespołów interdyscyplinarnych w ramach  Programu.;
;;;; 988.894;85206 Wspieranie rodziny;Gmina;2152391 - Wspieranie rodziny przez asystentów rodziny oraz pomoc psychologiczno-pedagogiczna; 959.425;wydatki bie Ŝą ce;Zadanie b ę dzie polegało na sfinansowaniu wydatków gminy zwi ą zanych z prowadzeniem Zespołu do spraw asysty zgodnie z ustaw ą  z dnia 9 czerwca 2011r. o wspieraniu rodziny i systemie pieczy zast ę pczej.;
;;;;;;;2152421 - Warsztaty z zakresu podnoszenia umiej ę tno ś ci opieku ń czo-wychowawczych dla rodziców: dzieci czasowo umieszczonych w pieczy zast ę pczej, rodziców prze Ŝ ywaj ą cych trudno ś ci opieku ń czo- wychowawcze; 11.492;wydatki bie Ŝą ce;Planowane  ś rodki przeznacza si ę  na organizowanie warsztatów z zakresu podnoszenia umiej ę tno ś ci opieku ń czo-wychowawczych dla rodziców dzieci czasowo umieszczonych w pieczy zast ę pczej, rodziców prze Ŝ ywajacych trudno ś ci opieku ń czo-wychowawcze.  Zadanie zostanie zlecone w drodze konkursu ofert organizacjom pozarz ą dowym oraz podmiotom, o których mowa w art.3 ust.3 ustawy z dnia 24 kwietnia 2003 r. o działalno ś ci po Ŝ ytku publicznego i o wolontariacie.;
;;;;;;;2152431 - Szkolenia dla asystentów rodziny w tym superwizja; 17.977;wydatki bie Ŝą ce;Planowane  ś rodki przeznacza si ę  na organizowanie szkole ń  dla asystentów rodziny w tym superwizja. Zadanie zostanie zlecone zgodnie z ustaw ą  Prawo zamówie ń  publicznych.;
;;;; 1.691.049;85213 Składki na ubezpieczenie zdrowotne opłacane za osoby pobieraj ą ce niektóre ś wiadczenia z pomocy społecznej, niektóre  ś wiadczenia rodzinne oraz za osoby uczestnicz ą ce w zaj ę ciach w centrum integracji społecznej;Gmina;2132711 - Składki na ubezpieczenia zdrowotne opłacane za  ś wiadczeniobiorców pomocy społecznej; 1.691.049;wydatki bie Ŝą ce;Planowane  ś rodki przeznaczone b ę d ą  na opłacanie składek zdrowotnych za osoby pobieraj ą ce niektóre ś wiadczenia z pomocy społecznej tj: -zasiłki stałe-Centrum Integracji Społecznej-osoby realizuj ą ce konktrakt socjalny.;
;;;; 18.672.407;85214 Zasiłki i pomoc w naturze oraz składki na ubezpieczenia emerytalne i rentowe;Gmina;2012211 - Zasiłki i pomoc w naturze; 4.059.616;wydatki bie Ŝą ce;Planowane  ś rodki finansowe przeznaczone s ą  na pomoc w formie zasiłków celowych, pomoc rzeczow ą , koszty pogrzebów oraz opłacanie składek na ubezpieczenie emerytalne i rentowe za osob ę , która zrezygnuje z zatrudnienia w zwi ą zku z konieczno ś ci ą  sprawowania opieki nad ci ęŜ ko chorym członkiem rodziny.;
;;;;;;;2093701 - Dofinansowanie zada ń  własnych gminy w zakresie wypłat zasiłków okresowych; 14.612.791;wydatki bie Ŝą ce;Planowane  ś rodki finansowe przeznaczone s ą  na pomoc w formie zasiłków okresowych dla podopiecznych Miejskiego O ś rodka Pomocy Społecznej.;
;;;; 20.536.654;85216 Zasiłki stałe;Gmina;2132701 - Zasiłki stałe wypłacane z pomocy społecznej; 20.536.654;wydatki bie Ŝą ce;Planowane  ś rodki finansowe przeznaczone s ą  na pomoc w formie zasiłków stałych dla podopiecznych Miejskiego O ś rodka Pomocy Społecznej.;
;;;; 34.567.745;85219 O ś rodki pomocy społecznej;Gmina;2036051 - Obsługa zada ń  Pa ń stwowego Funduszu Rehabilitacji Osób Niepełnosprawnych; 518.407;wydatki bie Ŝą ce;Planowane  ś rodki  przeznacza si ę  na sfinansowanie wydatków zwi ą zanych z obsług ą  Pa ń stwowego Funduszu Rehabilitacji Osób Niepełnosprawnych w zakresie rehabilitacji społecznej, wykonywan ą  przez pracowników Miejskiego O ś rodka Pomocy Społecznej. Ś rednie zatrudnienie planuje si ę  na poziomie 11,75 etatu .;
;;;;;;;2094081 - Wydatki na utrzymanie o ś rodków pomocy społecznej; 31.325.355;wydatki bie Ŝą ce;Planowane  ś rodki przeznaczone s ą  na finansowanie wydatków zwi ą zanych z utrzymaniem trzech wydziałów pracy  ś rodowiskowej, zajmuj ą cych si ę  obsług ą  osób korzystaj ą cych z pomocy społecznej oraz Miejskiego O ś rodka Pomocy Społecznej, który koordynuje działalno ść  wszystkich wydziałów pracy ś rodowiskowej oraz nadzorowanych jednostek - domów pomocy społecznej i placówek opieku ń czo- wychowawczych. ;
;;;;;;;2104851 - Dodatek do wynagrodze ń  oraz dofinansowanie kosztów szkolenia dla pracowników socjalnych; 920.376;wydatki bie Ŝą ce;Planowane  ś rodki przeznacza si ę  na wypłat ę  dodatku do wynagrodze ń , przysługuj ą cego pracownikom socjalnym - wynagrodzenie osobowe, składki ZUS, jednorazowe wynagrodzenia osobowe, dodatkowewynagrodzenie roczne.Zgodnie z art. 121 ust. 3a i 3b ustawy o pomocy społecznej z dnia 12 marca 2004 roku pracownikowisocjalnemu zatrudnionemu w pełnym wymiarze czasu pracy w samorz ą dowych jednostkach organizacyjnych pomocy społecznej  do którego obowi ą zków nale Ŝ y  ś wiadczenie pracy socjalnej w ś rodowisku w tym prowadzenie rodzinnych wywiadów  ś rodowiskowych poza siedzib ą  jednostki, przysługuje wypłacany co miesi ą c dodatek do wynagrodzenia w wysoko ś ci 250 zł,  a tak Ŝ e zwrot kosztów uczestnictwa w szkoleniach w zakresie specjalizacji zawodowej w zawodzie pracownikasocjalnego w kwocie nie mniejszej ni Ŝ  50% kosztów szkolenia.;
;;;;;;;2152931 - Wydatki na utrzymanie Wydziału Wspierania Rodzinnej Pieczy Zast ę pczej; 1.803.607;wydatki bie Ŝą ce;Ś rodki zostan ą  przeznaczone na sfinansowanie kosztów utrzymania komórki organizacyjnej MOPS, zajmuj ą cej si ę  realizacj ą  zada ń  wynikajacych z ustawy z dnia 9 czerwca 2011 r. o wspieraniu rodziny i systemie pieczy zast ę pczej (Dz. U. Nr 149 poz. 887).;
;;;; 934.394;85220 Jednostki specjalistycznego poradnictwa, mieszkania chronione i o ś rodki interwencji kryzysowej;Gmina;2104171 - Prowadzenie mieszka ń  chronionych; 564.147;wydatki bie Ŝą ce;Planowane  ś rodki przeznaczone s ą  na dofinansowanie kosztów utrzymania mieszka ń  chronionych, przeznaczonych dla osób po leczeniu szpitalnym, które nie mog ą   jeszcze ze wzgl ę du na stan zdrowia funkcjonowa ć  samodzielnie. Osoby te przebywaj ą  w mieszkaniach chronionych przez okres od sze ś ciu do dwunastu miesi ę cy - do chwili całkowitego usamodzielnienia si ę . Pobyt w mieszkaniach chronionych jest odpłatny, wynosi 70 % dochodu podopiecznego i stanowi dochód podmiotu prowadz ą cego. Osobom korzystaj ą cym z mieszka ń  chronionych,  ś wiadczone s ą  nast ę puj ą ce usługi : opieka lekarska, piel ę gniarska, rehabilitacja psychospołeczna, wy Ŝ ywienie. Zadanie jest realizowane przez Towarzystwo Przyjaciół Niepełnosprawnych w O ś rodku Rehabilitacyjno - Wypoczynkowym w Jedliczach oraz w Łodzi przy ul. Zawiszy Czarnego 22.;
;;;;;;;2104361 - Mieszkania chronione dla pełnoletnich wychowanków - prowadzone przez Miasto Łód ź; 58.464;wydatki bie Ŝą ce;Zaplanowana kwota zostanie przeznaczona na sfinansowanie wydatków zwi ą zanych z obsług ą mieszka ń  chronionych, dla pełnoletnich wychowanków-prowadzone przez Miasto Łód ź . Zaplanowane ś rodki przeznaczone s ą  na utrzymanie mieszka ń  chronionych przy ul. Aleksandrowskiej 123, Marysi ń skiej 100, Małachowskiego 74, Aleksandrowskiej 5.;
;;;;;;;2152291 - Prowadzenie mieszka ń  chronionych dla pełnoletnich wychowanków opuszczaj ą cych formy pieczy zast ę pczej; 31.783;wydatki bie Ŝą ce;Planowana kwota przeznaczona jest na prowadzenie mieszka ń  chronionych dla pełnoletnich wychowanków, opuszczaj ą cych ró Ŝ ne formy pieczy zast ę pczej.;
